"fichier_prevu","clip_humain_existant","ce_que_la_vraie_voix_dit","ce_qu_on_aurait_fait_dire","origine"
"crd-01.wav","/voix/tata/ui-083.mp3","Numéro de téléphone invalide. Format attendu : 07XXXXXXXX","Le numéro de téléphone n'est pas bon. Faut mettre les dix chiffres comme 07XXXXXXXX.","docx · Téléphone crédit faux (CreditModal.tsx)"
"wlt-02.wav","/voix/tata/ui-118.mp3","Solde insuffisant","Ton argent ne suffit pas pour faire ce retrait.","docx · Manque d'argent (WithdrawWalletModal.tsx)"
"wlt-03.wav","/voix/tata/ui-063.mp3","Le montant doit être un multiple de 100 francs","Le montant doit finir par cent francs net (cent, deux-cents, cinq-cents).","docx · Règle coupure (WithdrawWalletModal.tsx)"
"wlt-04.wav","/voix/tata/ui-093.mp3","Paiement en cours — confirme sur ton téléphone","Le transfert est lancé — faut valider avec ton code secret sur ton téléphone.","docx · Confirmation tel (WithdrawWalletModal.tsx)"
"wlt-05.wav","/voix/tata/ui-111.mp3","Retrait confirmé ! Ton solde a été mis à jour.","Le retrait est passé net ! Le nouveau point de ton argent est affiché.","docx · Retrait réussi (WithdrawWalletModal.tsx)"
"wlt-06.wav","/voix/tata/ui-126.mp3","Tu vas être redirigé vers Wave pour confirmer le paiement","L'application t'envoie sur Wave pour taper ton code et valider le paiement.","docx · Redirection Wave (RechargeWalletModal.tsx)"
"wlt-07.wav","/voix/tata/ui-092.mp3","Paiement confirmé ! Ton Keiwa est rechargé.","L'argent est bien rentré ! Ton compte Keiwa est chargé net.","docx · Keiwa rechargé (RechargeWalletModal.tsx)"
"dash-04.wav","/voix/tata/ui-010.mp3","Combien tu as en caisse ce matin ?","Combien tu as trouvé dans ta caisse ce matin pour démarrer le marché ?","docx · Contrôle matin (RoleDashboard.tsx)"
